route_id,airport_from,airport_to,distance_km,default_price
238,2,47,1720,106
239,2,48,2138,127
240,2,49,1859,113
241,2,50,1398,90
242,2,51,1067,73
243,2,52,1361,88
244,2,53,1627,101
245,2,54,1550,98
246,2,55,1498,95
247,2,56,1221,81
248,2,57,1527,96
249,2,58,1200,80
250,2,59,478,49
251,2,60,296,41
252,2,61,759,66
253,2,62,685,61
254,2,63,877,64
255,2,64,104,27
256,2,65,438,46
257,2,66,773,66
258,2,67,798,68
259,2,68,715,63
260,2,69,3766,208
261,2,70,3660,203
262,2,71,3495,195
263,2,72,3885,214
264,2,73,2409,140
265,2,74,2480,144
266,2,75,2540,147
267,2,76,2585,149
268,2,77,2559,148
269,2,78,625,57
270,2,79,596,56
271,2,80,1045,72
272,2,81,997,70
273,2,82,982,69
274,2,83,805,60
275,2,84,825,61
276,2,85,440,46
277,2,86,809,60
278,2,87,1098,75
279,2,88,606,56
280,2,89,507,50
281,2,90,977,69
282,2,91,240,37
283,2,92,888,64
284,2,93,831,62
285,2,94,777,67
286,2,95,842,62
287,2,96,131,29
288,2,97,769,66
289,2,98,267,39
290,2,99,1858,113
291,2,100,1788,109
292,2,101,1883,114
293,2,102,1169,78
294,2,103,1632,102
295,2,104,1647,102
296,2,105,1727,106
297,2,106,1454,93
298,2,107,674,60
299,2,108,1045,72
300,2,109,1053,73
301,2,110,210,35
302,2,111,223,36
303,2,112,1728,106
304,2,113,1718,106
305,2,114,1571,99
306,2,115,244,37
307,2,116,132,29
308,2,117,2269,133
309,2,118,2414,141
310,2,119,2267,133
311,2,120,1304,85
312,2,121,1334,87
313,2,122,1067,73
314,2,123,1198,80
315,2,124,1547,97
316,2,125,1343,87
317,2,126,1497,95
318,2,127,1112,76
319,2,128,1222,81
320,2,129,1089,74
321,2,130,2453,143
322,2,131,2365,138
323,2,132,2406,140
324,2,133,3331,187
325,2,134,3876,214
326,2,135,708,62
327,2,136,779,67
328,2,137,858,63
329,2,138,991,70
330,2,139,689,61
331,2,140,487,49
332,2,141,374,42
333,2,142,382,43
334,2,143,874,64
335,2,144,920,66
336,2,145,957,68
337,2,146,757,65
338,2,147,734,64
339,2,148,734,64
340,2,149,1948,117
341,2,150,1466,93
342,2,151,1704,105
343,2,152,2124,126
344,2,153,1739,107
345,2,154,2217,131
346,2,155,1878,114
347,2,156,1725,106
348,2,157,1430,92
349,2,158,1775,109
350,2,159,2136,127
351,2,160,2102,125
352,2,161,1980,119
353,2,162,1733,107
354,2,163,2045,122
355,2,164,1169,78
356,2,165,1256,83
357,2,166,1239,82
358,2,167,1199,80
359,2,168,787,67
360,2,169,832,62
361,2,170,1149,77
362,2,171,705,62
363,2,172,1061,73
364,2,173,912,66
365,2,174,795,68
366,2,175,1412,91
367,2,176,1395,90
368,2,177,1095,75
369,2,178,1120,76
370,2,179,1681,104
371,2,180,1958,118
372,2,181,1924,116
373,2,182,1942,117
374,2,183,1977,119
375,2,184,1930,117
376,2,185,1897,115
377,2,186,2174,129
378,2,187,2395,140
379,2,188,2091,125
380,2,189,2445,142
381,2,190,2205,130
382,2,191,2092,125
383,2,192,2250,132
384,2,193,625,57
385,3,1,1521,96
386,3,2,1522,96
387,3,4,0,20
388,3,5,3573,199
389,3,6,3509,195
390,3,7,1349,87
391,3,8,1094,75
392,3,9,956,68
393,3,10,1225,81
394,3,11,4016,221
395,3,12,3694,205
396,3,13,2340,137
397,3,14,2480,144
398,3,15,2089,124
399,3,16,980,69
400,3,17,932,67
401,3,18,1011,71
402,3,19,1385,89
403,3,20,1346,87
404,3,21,1312,86
405,3,22,1803,110
406,3,23,2155,128
407,3,24,2139,127
408,3,25,1232,82
409,3,26,1221,81
410,3,27,1385,89
411,3,28,2906,165
412,3,29,2821,161
413,3,30,1311,86
414,3,31,1406,90
415,3,32,1525,96
416,3,33,1686,104
417,3,34,1687,104
418,3,35,1592,100
419,3,36,2488,144
420,3,37,2500,145
421,3,38,2559,148
422,3,39,2465,143
423,3,40,3082,174
424,3,41,747,65
425,3,42,714,63
426,3,43,793,68
427,3,44,335,40
428,3,45,478,49
429,3,46,143,30
430,3,47,325,40
431,3,48,3568,198
432,3,49,3301,185
433,3,50,1437,92
434,3,51,1051,73
435,3,52,1017,71
436,3,53,1407,90
437,3,54,1075,74
438,3,55,1044,72
439,3,56,932,67
440,3,57,1285,84
441,3,58,1091,75
442,3,59,1975,119
443,3,60,1809,110
444,3,61,2196,130
445,3,62,2104,125
446,3,63,2380,139
447,3,64,1583,99
448,3,65,1857,113
449,3,66,1515,96
450,3,67,1689,104
451,3,68,1339,87
452,3,69,2857,163
453,3,70,2865,163
454,3,71,2739,157
455,3,72,3043,172
456,3,73,1358,88
457,3,74,1294,85
458,3,75,1387,89
459,3,76,1492,95
460,3,77,1369,88
461,3,78,898,65
462,3,79,927,66
463,3,80,691,61
464,3,81,720,63
465,3,82,761,66
466,3,83,946,67
467,3,84,939,67
468,3,85,1085,74
469,3,86,836,62
470,3,87,594,56
471,3,88,1094,75
472,3,89,1285,84
473,3,90,644,59
474,3,91,1282,84
475,3,92,834,62
476,3,93,747,65
477,3,94,814,61
478,3,95,694,62
479,3,96,1391,90
480,3,97,1040,72
481,3,98,1611,101
482,3,99,2279,134
483,3,100,2112,126
484,3,101,2194,130
485,3,102,801,60
486,3,103,2214,131
487,3,104,2165,128
488,3,105,2074,124
489,3,106,890,65
490,3,107,1338,87
491,3,108,2230,132
492,3,109,2152,128
493,3,110,1467,93
494,3,111,1424,91
495,3,112,1137,77
496,3,113,1093,75
497,3,114,1009,70
498,3,115,1667,103
499,3,116,1609,100
500,3,117,2093,125
501,3,118,2014,121
502,3,119,1863,113
503,3,120,1830,112
504,3,121,1827,111
505,3,122,1652,103
506,3,123,1527,96
507,3,124,1832,112
508,3,125,1610,100
509,3,126,1600,100
510,3,127,1626,101
511,3,128,1894,115
512,3,129,1801,110
513,3,130,976,69
514,3,131,847,62
515,3,132,997,70
516,3,133,1925,116
517,3,134,2358,138
518,3,135,2005,120
519,3,136,1830,112
520,3,137,2197,130
521,3,138,2133,127
522,3,139,929,66
523,3,140,1548,97
524,3,141,1671,104
525,3,142,1567,98
526,3,143,1396,90
527,3,144,1695,105
528,3,145,1640,102
529,3,146,1126,76
530,3,147,1225,81
531,3,148,1225,81
532,3,149,464,48
533,3,150,128,29
534,3,151,354,41
535,3,152,808,60
536,3,153,480,49
537,3,154,829,61
538,3,155,369,42
539,3,156,216,35
540,3,157,329,40
541,3,158,538,52
542,3,159,2234,132
543,3,160,2209,130
544,3,161,1869,113
545,3,162,1703,105
546,3,163,2123,126
547,3,164,801,60
548,3,165,573,54
549,3,166,757,65
550,3,167,701,62
551,3,168,2265,133
552,3,169,2320,136
553,3,170,2644,152
554,3,171,2225,131
555,3,172,2581,149
556,3,173,2424,141
557,3,174,2308,135
558,3,175,2418,141
559,3,176,2388,139
560,3,177,1922,116
561,3,178,2362,138
562,3,179,2795,160
563,3,180,1025,71
564,3,181,987,69
565,3,182,1065,73
566,3,183,1069,73
567,3,184,1024,71
568,3,185,1028,71
569,3,186,1255,83
570,3,187,1552,98
571,3,188,1149,77
572,3,189,1563,98
573,3,190,1263,83
574,3,191,1053,73
575,3,192,1430,92
576,3,193,898,65
577,4,1,1521,96
578,4,2,1522,96
579,4,3,0,20
580,4,5,3573,199
581,4,6,3509,195
582,4,7,1349,87
583,4,8,1094,75
584,4,9,956,68
585,4,10,1225,81
586,4,11,4016,221
587,4,12,3694,205
588,4,13,2340,137
589,4,14,2480,144
590,4,15,2089,124
591,4,16,980,69
592,4,17,932,67
593,4,18,1011,71
594,4,19,1385,89
595,4,20,1346,87
596,4,21,1312,86
597,4,22,1803,110
598,4,23,2155,128
599,4,24,2139,127
600,4,25,1232,82
601,4,26,1221,81
602,4,27,1385,89
603,4,28,2906,165
604,4,29,2821,161
605,4,30,1311,86
606,4,31,1406,90
607,4,32,1525,96
608,4,33,1686,104
609,4,34,1687,104
610,4,35,1592,100
611,4,36,2488,144
612,4,37,2500,145
613,4,38,2559,148
614,4,39,2465,143
615,4,40,3082,174
616,4,41,747,65
617,4,42,714,63
618,4,43,793,68
619,4,44,335,40
620,4,45,478,49
621,4,46,143,30
622,4,47,325,40
623,4,48,3568,198
624,4,49,3301,185
625,4,50,1437,92
626,4,51,1051,73
627,4,52,1017,71
628,4,53,1407,90
629,4,54,1075,74
630,4,55,1044,72
631,4,56,932,67
632,4,57,1285,84
633,4,58,1091,75
634,4,59,1975,119
635,4,60,1809,110
636,4,61,2196,130
637,4,62,2104,125
638,4,63,2380,139
639,4,64,1583,99
640,4,65,1857,113
641,4,66,1515,96
642,4,67,1689,104
643,4,68,1339,87
644,4,69,2857,163
645,4,70,2865,163
646,4,71,2739,157
647,4,72,3043,172
648,4,73,1358,88
649,4,74,1294,85
650,4,75,1387,89
651,4,76,1492,95
652,4,77,1369,88
653,4,78,898,65
654,4,79,927,66
655,4,80,691,61
656,4,81,720,63
657,4,82,761,66
658,4,83,946,67
659,4,84,939,67
660,4,85,1085,74
661,4,86,836,62
662,4,87,594,56
663,4,88,1094,75
664,4,89,1285,84
665,4,90,644,59
666,4,91,1282,84
667,4,92,834,62
668,4,93,747,65
669,4,94,814,61
670,4,95,694,62
671,4,96,1391,90
672,4,97,1040,72
673,4,98,1611,101
674,4,99,2279,134
675,4,100,2112,126
676,4,101,2194,130
677,4,102,801,60
678,4,103,2214,131
679,4,104,2165,128
680,4,105,2074,124
681,4,106,890,65
682,4,107,1338,87
683,4,108,2230,132
684,4,109,2152,128
685,4,110,1467,93
686,4,111,1424,91
687,4,112,1137,77
688,4,113,1093,75
689,4,114,1009,70
690,4,115,1667,103
691,4,116,1609,100
692,4,117,2093,125
693,4,118,2014,121
694,4,119,1863,113
695,4,120,1830,112
696,4,121,1827,111
697,4,122,1652,103
698,4,123,1527,96
699,4,124,1832,112
700,4,125,1610,100
701,4,126,1600,100
702,4,127,1626,101
703,4,128,1894,115
704,4,129,1801,110
705,4,130,976,69
706,4,131,847,62
707,4,132,997,70
708,4,133,1925,116
709,4,134,2358,138
710,4,135,2005,120
711,4,136,1830,112
712,4,137,2197,130
713,4,138,2133,127
714,4,139,929,66
715,4,140,1548,97
716,4,141,1671,104
717,4,142,1567,98
718,4,143,1396,90
719,4,144,1695,105
720,4,145,1640,102
721,4,146,1126,76
722,4,147,1225,81
723,4,148,1225,81
724,4,149,464,48
725,4,150,128,29
726,4,151,354,41
727,4,152,808,60
728,4,153,480,49
729,4,154,829,61
730,4,155,369,42
731,4,156,216,35
732,4,157,329,40
733,4,158,538,52
734,4,159,2234,132
735,4,160,2209,130
736,4,161,1869,113
737,4,162,1703,105
738,4,163,2123,126
739,4,164,801,60
740,4,165,573,54
741,4,166,757,65
742,4,167,701,62
743,4,168,2265,133
744,4,169,2320,136
745,4,170,2644,152
746,4,171,2225,131
747,4,172,2581,149
748,4,173,2424,141
749,4,174,2308,135
750,4,175,2418,141
751,4,176,2388,139
752,4,177,1922,116
753,4,178,2362,138
754,4,179,2795,160
755,4,180,1025,71
756,4,181,987,69
757,4,182,1065,73
758,4,183,1069,73
759,4,184,1024,71
760,4,185,1028,71
761,4,186,1255,83
762,4,187,1552,98
763,4,188,1149,77
764,4,189,1563,98
765,4,190,1263,83
766,4,191,1053,73
767,4,192,1430,92
768,4,193,898,65
769,5,1,2081,124
770,5,2,2112,126
771,5,3,3573,199
772,5,4,3573,199
773,5,6,81,26
774,5,7,2380,139
775,5,8,2637,152
776,5,9,2756,158
777,5,10,2443,142
778,5,11,482,49
779,5,12,140,30
780,5,13,1960,118
781,5,14,1713,106
782,5,15,2140,127
783,5,16,3291,185
784,5,17,3289,184
785,5,18,3296,185
786,5,19,2189,129
787,5,20,2227,131
788,5,21,2277,134
789,5,22,1772,109
790,5,23,1419,91
791,5,24,1435,92
792,5,25,2380,139
793,5,26,2352,138
794,5,27,2194,130
795,5,28,1116,76
796,5,29,1213,81
797,5,30,2593,150
798,5,31,2397,140
799,5,32,2314,136
800,5,33,2891,165
801,5,34,3037,172
802,5,35,3101,175
803,5,36,2543,147
804,5,37,2380,139
805,5,38,2615,151
806,5,39,2731,157
807,5,40,3160,178
808,5,41,3418,191
809,5,42,3431,192
810,5,43,3451,193
811,5,44,3246,182
812,5,45,3235,182
813,5,46,3552,198
814,5,47,3697,205
815,5,48,175,32
816,5,49,286,40
817,5,50,2712,156
818,5,51,2735,157
819,5,52,2992,170
820,5,53,2979,169
821,5,54,3137,177
822,5,55,3105,175
823,5,56,2927,166
824,5,57,2965,168
825,5,58,2805,160
826,5,59,1783,109
827,5,60,1817,111
828,5,61,1772,109
829,5,62,1850,112
830,5,63,1484,94
831,5,64,2089,124
832,5,65,1973,119
833,5,66,2167,128
834,5,67,1996,120
835,5,68,2309,135
836,5,69,4986,269
837,5,70,4776,259
838,5,71,4603,250
839,5,72,5009,270
840,5,73,4040,222
841,5,74,4195,230
842,5,75,4220,231
843,5,76,4208,230
844,5,77,4264,233
845,5,78,2697,155
846,5,79,2668,153
847,5,80,2951,168
848,5,81,2908,165
849,5,82,2875,164
850,5,83,2668,153
851,5,84,2681,154
852,5,85,2540,147
853,5,86,2752,158
854,5,87,3037,172
855,5,88,2700,155
856,5,89,2553,148
857,5,90,2947,167
858,5,91,2330,137
859,5,92,2782,159
860,5,93,2828,161
861,5,94,2762,158
862,5,95,2937,167
863,5,96,2237,132
864,5,97,2582,149
865,5,98,1967,118
866,5,99,2380,139
867,5,100,2485,144
868,5,101,2522,146
869,5,102,2968,168
870,5,103,2148,127
871,5,104,2231,132
872,5,105,2449,142
873,5,106,3156,178
874,5,107,2657,153
875,5,108,1456,93
876,5,109,1579,99
877,5,110,2114,126
878,5,111,2157,128
879,5,112,3291,185
880,5,113,3307,185
881,5,114,3201,180
882,5,115,1919,116
883,5,116,1997,120
884,5,117,3198,180
885,5,118,3497,195
886,5,119,3418,191
887,5,120,2233,132
888,5,121,2266,133
889,5,122,2214,131
890,5,123,2446,142
891,5,124,2496,145
892,5,125,2501,145
893,5,126,2669,153
894,5,127,2276,134
895,5,128,2078,124
896,5,129,2067,123
897,5,130,4538,247
898,5,131,4416,241
899,5,132,4510,245
900,5,133,5440,292
901,5,134,5918,316
902,5,135,1582,99
903,5,136,1824,111
904,5,137,1391,90
905,5,138,1558,98
906,5,139,2648,152
907,5,140,2039,122
908,5,141,1902,115
909,5,142,2007,120
910,5,143,2335,137
911,5,144,2062,123
912,5,145,2146,127
913,5,146,2509,145
914,5,147,2418,141
915,5,148,2418,141
916,5,149,4025,221
917,5,150,3542,197
918,5,151,3801,210
919,5,152,4234,232
920,5,153,3846,212
921,5,154,4322,236
922,5,155,3899,215
923,5,156,3787,209
924,5,157,3532,197
925,5,158,3884,214
926,5,159,2847,162
927,5,160,2825,161
928,5,161,3007,170
929,5,162,2845,162
930,5,163,2836,162
931,5,164,2968,168
932,5,165,3153,178
933,5,166,3045,172
934,5,167,3046,172
935,5,168,1326,86
936,5,169,1280,84
937,5,170,971,69
938,5,171,1500,95
939,5,172,1238,82
940,5,173,1413,91
941,5,174,1488,94
942,5,175,1547,97
943,5,176,1575,99
944,5,177,1927,116
945,5,178,1311,86
946,5,179,1259,83
947,5,180,3640,202
948,5,181,3620,201
949,5,182,3594,200
950,5,183,3636,202
951,5,184,3605,200
952,5,185,3561,198
953,5,186,3774,209
954,5,187,3870,214
955,5,188,3733,207
956,5,189,3936,217
957,5,190,3812,211
958,5,191,3797,210
959,5,192,3753,208
960,5,193,2697,155
961,6,1,2023,121
962,6,2,2057,123
963,6,3,3509,195
964,6,4,3509,195
965,6,5,81,26
966,6,7,2307,135
967,6,8,2565,148
968,6,9,2684,154
969,6,10,2372,139
970,6,11,524,51
971,6,12,221,35
972,6,13,1879,114
973,6,14,1632,102
974,6,15,2059,123
975,6,16,3216,181
976,6,17,3214,181
977,6,18,3220,181
978,6,19,2124,126
979,6,20,2164,128
980,6,21,2210,131
981,6,22,1711,106
982,6,23,1355,88
983,6,24,1374,89
984,6,25,2311,136
985,6,26,2289,134
986,6,27,2133,127
987,6,28,1111,76
988,6,29,1204,80
989,6,30,2517,146
990,6,31,2322,136
991,6,32,2238,132
992,6,33,2811,161
993,6,34,2957,168
994,6,35,3021,171
995,6,36,2463,143
996,6,37,2300,135
997,6,38,2535,147
998,6,39,2650,153
999,6,40,3083,174
1000,6,41,3345,187
1001,6,42,3359,188
1002,6,43,3377,189
1003,6,44,3182,179
1004,6,45,3166,178
1005,6,46,3486,194
1006,6,47,3629,201
1007,6,48,137,30
1008,6,49,212,35
1009,6,50,2634,152
1010,6,51,2662,153
1011,6,52,2917,166
1012,6,53,2900,165
1013,6,54,3062,173
1014,6,55,3029,171
1015,6,56,2854,163
1016,6,57,2887,164
1017,6,58,2731,157
1018,6,59,1741,107
1019,6,60,1763,108
1020,6,61,1742,107
1021,6,62,1818,111
1022,6,63,1454,93
1023,6,64,2037,122
1024,6,65,1932,117
1025,6,66,2094,125
1026,6,67,1923,116
1027,6,68,2238,132
1028,6,69,4905,265
1029,6,70,4695,255
1030,6,71,4522,246
1031,6,72,4928,266
1032,6,73,3963,218
1033,6,74,4119,226
1034,6,75,4143,227
1035,6,76,4131,227
1036,6,77,4187,229
1037,6,78,2637,152
1038,6,79,2608,150
1039,6,80,2883,164
1040,6,81,2841,162
1041,6,82,2807,160
1042,6,83,2600,150
1043,6,84,2612,151
1044,6,85,2483,144
1045,6,86,2686,154
1046,6,87,2969,168
1047,6,88,2649,152
1048,6,89,2505,145
1049,6,90,2881,164
1050,6,91,2273,134
1051,6,92,2715,156
1052,6,93,2763,158
1053,6,94,2697,155
1054,6,95,2878,164
1055,6,96,2182,129
1056,6,97,2514,146
1057,6,98,1906,115
1058,6,99,2299,135
1059,6,100,2404,140
1060,6,101,2441,142
1061,6,102,2896,165
1062,6,103,2067,123
1063,6,104,2150,128
1064,6,105,2368,138
1065,6,106,3082,174
1066,6,107,2614,151
1067,6,108,1380,89
1068,6,109,1502,95
1069,6,110,2053,123
1070,6,111,2097,125
1071,6,112,3214,181
1072,6,113,3231,182
1073,6,114,3126,176
1074,6,115,1861,113
1075,6,116,1941,117
1076,6,117,3117,176
1077,6,118,3416,191
1078,6,119,3337,187
1079,6,120,2153,128
1080,6,121,2187,129
1081,6,122,2137,127
1082,6,123,2368,138
1083,6,124,2416,141
1084,6,125,2423,141
1085,6,126,2590,150
1086,6,127,2199,130
1087,6,128,1999,120
1088,6,129,1990,119
1089,6,130,4476,244
1090,6,131,4351,238
1091,6,132,4451,243
1092,6,133,5382,289
1093,6,134,5852,313
1094,6,135,1514,96
1095,6,136,1751,108
1096,6,137,1322,86
1097,6,138,1482,94
1098,6,139,2583,149
1099,6,140,1972,119
1100,6,141,1839,112
1101,6,142,1943,117
1102,6,143,2261,133
1103,6,144,1986,119
1104,6,145,2070,124
1105,6,146,2440,142
1106,6,147,2348,137
1107,6,148,2348,137
1108,6,149,3963,218
1109,6,150,3480,194
1110,6,151,3742,207
1111,6,152,4177,229
1112,6,153,3789,209
1113,6,154,4263,233
1114,6,155,3833,212
1115,6,156,3724,206
1116,6,157,3474,194
1117,6,158,3827,211
1118,6,159,2766,158
1119,6,160,2744,157
1120,6,161,2926,166
1121,6,162,2765,158
1122,6,163,2755,158
1123,6,164,2896,165
1124,6,165,3083,174
1125,6,166,2974,169
1126,6,167,2975,169
1127,6,168,1271,84
1128,6,169,1226,81
1129,6,170,924,66
1130,6,171,1460,93
1131,6,172,1210,81
1132,6,173,1382,89
1133,6,174,1453,93
1134,6,175,1466,93
1135,6,176,1494,95
1136,6,177,1849,112
1137,6,178,1235,82
1138,6,179,1178,79
1139,6,180,3564,198
1140,6,181,3545,197
1141,6,182,3518,196
1142,6,183,3560,198
1143,6,184,3529,196
1144,6,185,3485,194
1145,6,186,3697,205
1146,6,187,3791,210
1147,6,188,3657,203
1148,6,189,3857,213
1149,6,190,3735,207
1150,6,191,3721,206
1151,6,192,3675,204
1152,6,193,2637,152
1153,7,1,785,67
1154,7,2,879,64
1155,7,3,1349,87
1156,7,4,1349,87
1157,7,5,2380,139
1158,7,6,2307,135
1159,7,8,269,39
1160,7,9,403,44
1161,7,10,151,31
1162,7,11,2778,159
1163,7,12,2514,146
1164,7,13,1027,71
1165,7,14,1138,77
1166,7,15,806,60
1167,7,16,927,66
1168,7,17,918,66
1169,7,18,938,67
1170,7,19,496,50
1171,7,20,546,53
1172,7,21,357,41
1173,7,22,805,60
1174,7,23,1030,71
1175,7,24,1054,73
1176,7,25,266,39
1177,7,26,509,51
1178,7,27,631,58
1179,7,28,2038,122
1180,7,29,1988,119
1181,7,30,278,39
1182,7,31,116,28
1183,7,32,209,35
1184,7,33,878,64
1185,7,34,997,70
1186,7,35,989,69
1187,7,36,1369,88
1188,7,37,1318,86
1189,7,38,1462,93
1190,7,39,1428,91
1191,7,40,2124,126
1192,7,41,1038,72
1193,7,42,1052,73
1194,7,43,1071,74
1195,7,44,1022,71
1196,7,45,913,66
1197,7,46,1279,84
1198,7,47,1374,89
1199,7,48,2338,137
1200,7,49,2095,125
1201,7,50,521,51
1202,7,51,356,41
1203,7,52,622,57
1204,7,53,769,66
1205,7,54,790,67
1206,7,55,748,65
1207,7,56,548,53
1208,7,57,689,61
1209,7,58,433,46
1210,7,59,1279,84
1211,7,60,985,69
1212,7,61,1587,99
1213,7,62,1531,97
1214,7,63,1607,100
1215,7,64,983,69
1216,7,65,1305,85
1217,7,66,215,35
1218,7,67,384,43
1219,7,68,164,32
1220,7,69,2939,167
1221,7,70,2811,161
1222,7,71,2642,152
1223,7,72,3040,172
1224,7,73,1707,105
1225,7,74,1835,112
1226,7,75,1872,114
1227,7,76,1883,114
1228,7,77,1908,115
1229,7,78,780,67
1230,7,79,768,66
1231,7,80,658,59
1232,7,81,631,58
1233,7,82,589,55
1234,7,83,433,46
1235,7,84,431,46
1236,7,85,823,61
1237,7,86,568,54
1238,7,87,755,65
1239,7,88,1138,77
1240,7,89,1189,79
1241,7,90,723,63
1242,7,91,775,66
1243,7,92,528,52
1244,7,93,686,61
1245,7,94,633,58
1246,7,95,977,69
1247,7,96,835,62
1248,7,97,346,41
1249,7,98,708,62
1250,7,99,1100,75
1251,7,100,985,69
1252,7,101,1082,74
1253,7,102,605,56
1254,7,103,945,67
1255,7,104,923,66
1256,7,105,928,66
1257,7,106,778,67
1258,7,107,1372,89
1259,7,108,939,67
1260,7,109,837,62
1261,7,110,673,60
1262,7,111,656,59
1263,7,112,962,68
1264,7,113,967,68
1265,7,114,841,62
1266,7,115,790,67
1267,7,116,838,62
1268,7,117,1390,90
1269,7,118,1540,97
1270,7,119,1397,90
1271,7,120,550,53
1272,7,121,564,54
1273,7,122,321,39
