instance_id,schedule_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,aircraft_id,real_price
44,22050,2025-06-07 00:10:00,2025-06-07 03:20:00,,,44,
45,22192,2025-06-07 00:10:00,2025-06-07 02:10:00,,,45,
46,22399,2025-06-07 00:10:00,2025-06-07 02:20:00,,,46,
47,22458,2025-06-07 00:10:00,2025-06-07 04:15:00,,,47,
48,22587,2025-06-07 00:10:00,2025-06-07 03:10:00,,,48,
49,22714,2025-06-07 00:10:00,2025-06-07 03:25:00,,,49,
50,22751,2025-06-07 00:10:00,2025-06-07 02:05:00,,,50,
51,22790,2025-06-07 00:10:00,2025-06-07 01:00:00,,,51,
52,22872,2025-06-07 00:10:00,2025-06-07 02:25:00,,,52,
53,23156,2025-06-07 00:10:00,2025-06-07 02:30:00,,,53,
54,20136,2025-06-07 00:15:00,2025-06-07 02:20:00,,,54,
55,20240,2025-06-07 00:15:00,2025-06-07 02:55:00,,,55,
56,20377,2025-06-07 00:15:00,2025-06-07 01:35:00,,,56,
57,20891,2025-06-07 00:15:00,2025-06-07 01:40:00,,,57,
58,20941,2025-06-07 00:15:00,2025-06-07 02:20:00,,,58,
59,21024,2025-06-07 00:15:00,2025-06-07 04:35:00,,,59,
60,21368,2025-06-07 00:15:00,2025-06-07 01:30:00,,,60,
61,21896,2025-06-07 00:15:00,2025-06-07 02:35:00,,,61,
62,22001,2025-06-07 00:15:00,2025-06-07 01:40:00,,,62,
63,22512,2025-06-07 00:15:00,2025-06-07 03:05:00,,,63,
64,22662,2025-06-07 00:15:00,2025-06-07 04:25:00,,,64,
65,22722,2025-06-07 00:15:00,2025-06-07 03:10:00,,,65,
66,23182,2025-06-07 00:15:00,2025-06-07 01:30:00,,,66,
67,23333,2025-06-07 00:15:00,2025-06-07 01:20:00,,,67,
68,23361,2025-06-07 00:15:00,2025-06-07 03:10:00,,,68,
69,23683,2025-06-07 00:15:00,2025-06-07 03:10:00,,,69,
70,23903,2025-06-07 00:15:00,2025-06-07 01:10:00,,,70,
71,23918,2025-06-07 00:15:00,2025-06-07 02:35:00,,,71,
72,20177,2025-06-07 00:20:00,2025-06-07 03:55:00,,,72,
73,20272,2025-06-07 00:20:00,2025-06-07 02:25:00,,,73,
74,20386,2025-06-07 00:20:00,2025-06-07 01:35:00,,,74,
75,20580,2025-06-07 00:20:00,2025-06-07 03:25:00,,,75,
76,21027,2025-06-07 00:20:00,2025-06-07 02:40:00,,,76,
77,21335,2025-06-07 00:20:00,2025-06-07 03:15:00,,,77,
78,21980,2025-06-07 00:20:00,2025-06-07 03:20:00,,,78,
79,22081,2025-06-07 00:20:00,2025-06-07 01:45:00,,,79,
80,22127,2025-06-07 00:20:00,2025-06-07 03:15:00,,,80,
81,22995,2025-06-07 00:20:00,2025-06-07 02:10:00,,,81,
82,23373,2025-06-07 00:20:00,2025-06-07 01:35:00,,,82,
83,20188,2025-06-07 00:25:00,2025-06-07 04:15:00,,,83,
84,20407,2025-06-07 00:25:00,2025-06-07 03:25:00,,,84,
85,20480,2025-06-07 00:25:00,2025-06-07 03:45:00,,,85,
86,20927,2025-06-07 00:25:00,2025-06-07 02:30:00,,,86,
87,21770,2025-06-07 00:25:00,2025-06-07 02:05:00,,,87,
88,21799,2025-06-07 00:25:00,2025-06-07 02:20:00,,,88,
89,21936,2025-06-07 00:25:00,2025-06-07 03:10:00,,,89,
90,21974,2025-06-07 00:25:00,2025-06-07 02:35:00,,,90,
91,22077,2025-06-07 00:25:00,2025-06-07 02:30:00,,,91,
92,22417,2025-06-07 00:25:00,2025-06-07 02:10:00,,,92,
93,22462,2025-06-07 00:25:00,2025-06-07 03:00:00,,,93,
94,22483,2025-06-07 00:25:00,2025-06-07 02:25:00,,,94,
95,22532,2025-06-07 00:25:00,2025-06-07 02:40:00,,,95,
96,22887,2025-06-07 00:25:00,2025-06-07 02:55:00,,,96,
97,23048,2025-06-07 00:25:00,2025-06-07 02:55:00,,,97,
98,23264,2025-06-07 00:25:00,2025-06-07 03:05:00,,,98,
99,23534,2025-06-07 00:25:00,2025-06-07 04:50:00,,,99,
100,23630,2025-06-07 00:25:00,2025-06-07 03:00:00,,,100,
101,20205,2025-06-07 00:30:00,2025-06-07 02:45:00,,,101,
102,20432,2025-06-07 00:30:00,2025-06-07 02:20:00,,,102,
103,20813,2025-06-07 00:30:00,2025-06-07 03:25:00,,,103,
104,20996,2025-06-07 00:30:00,2025-06-07 02:25:00,,,104,
105,21053,2025-06-07 00:30:00,2025-06-07 01:25:00,,,105,
106,21255,2025-06-07 00:30:00,2025-06-07 02:15:00,,,106,
107,21280,2025-06-07 00:30:00,2025-06-07 02:25:00,,,107,
108,21298,2025-06-07 00:30:00,2025-06-07 03:30:00,,,108,
109,21559,2025-06-07 00:30:00,2025-06-07 02:40:00,,,109,
110,22035,2025-06-07 00:30:00,2025-06-07 04:05:00,,,110,
111,22132,2025-06-07 00:30:00,2025-06-07 04:15:00,,,111,
112,22390,2025-06-07 00:30:00,2025-06-07 02:15:00,,,112,
113,22476,2025-06-07 00:30:00,2025-06-07 03:20:00,,,113,
114,22583,2025-06-07 00:30:00,2025-06-07 04:15:00,,,114,
115,22900,2025-06-07 00:30:00,2025-06-07 03:20:00,,,115,
116,22943,2025-06-07 00:30:00,2025-06-07 03:00:00,,,116,
117,22962,2025-06-07 00:30:00,2025-06-07 03:40:00,,,117,
118,22989,2025-06-07 00:30:00,2025-06-07 02:50:00,,,118,
119,23045,2025-06-07 00:30:00,2025-06-07 03:15:00,,,119,
120,23295,2025-06-07 00:30:00,2025-06-07 03:30:00,,,120,
121,23385,2025-06-07 00:30:00,2025-06-07 02:30:00,,,121,
122,23625,2025-06-07 00:30:00,2025-06-07 03:05:00,,,122,
123,20207,2025-06-07 00:35:00,2025-06-07 02:45:00,,,123,
124,20265,2025-06-07 00:35:00,2025-06-07 03:10:00,,,124,
125,20343,2025-06-07 00:35:00,2025-06-07 05:00:00,,,125,
126,20393,2025-06-07 00:35:00,2025-06-07 01:55:00,,,126,
127,20398,2025-06-07 00:35:00,2025-06-07 03:00:00,,,127,
128,20898,2025-06-07 00:35:00,2025-06-07 02:55:00,,,128,
129,21054,2025-06-07 00:35:00,2025-06-07 03:50:00,,,129,
130,21097,2025-06-07 00:35:00,2025-06-07 02:00:00,,,130,
131,21374,2025-06-07 00:35:00,2025-06-07 02:25:00,,,131,
132,22472,2025-06-07 00:35:00,2025-06-07 05:00:00,,,132,
133,22742,2025-06-07 00:35:00,2025-06-07 05:00:00,,,133,
134,22815,2025-06-07 00:35:00,2025-06-07 02:55:00,,,134,
135,23520,2025-06-07 00:35:00,2025-06-07 01:45:00,,,135,
136,23679,2025-06-07 00:35:00,2025-06-07 02:25:00,,,136,
137,23878,2025-06-07 00:35:00,2025-06-07 02:00:00,,,137,
138,23904,2025-06-07 00:35:00,2025-06-07 01:30:00,,,138,
139,20072,2025-06-07 00:40:00,2025-06-07 02:15:00,,,139,
140,20155,2025-06-07 00:40:00,2025-06-07 01:35:00,,,140,
141,20416,2025-06-07 00:40:00,2025-06-07 04:15:00,,,141,
142,20548,2025-06-07 00:40:00,2025-06-07 02:05:00,,,142,
143,20778,2025-06-07 00:40:00,2025-06-07 01:40:00,,,143,
144,21222,2025-06-07 00:40:00,2025-06-07 02:50:00,,,144,
145,21736,2025-06-07 00:40:00,2025-06-07 03:25:00,,,145,
146,22266,2025-06-07 00:40:00,2025-06-07 03:45:00,,,146,
147,22633,2025-06-07 00:40:00,2025-06-07 06:25:00,,,147,
148,22634,2025-06-07 00:40:00,2025-06-07 06:25:00,,,148,
149,23044,2025-06-07 00:40:00,2025-06-07 01:40:00,,,149,
150,23057,2025-06-07 00:40:00,2025-06-07 03:15:00,,,150,
151,23504,2025-06-07 00:40:00,2025-06-07 03:20:00,,,151,
152,23770,2025-06-07 00:40:00,2025-06-07 05:00:00,,,152,
153,23813,2025-06-07 00:40:00,2025-06-07 02:50:00,,,153,
154,23947,2025-06-07 00:40:00,2025-06-07 06:55:00,,,154,
155,20087,2025-06-07 00:45:00,2025-06-07 02:00:00,,,155,
156,20120,2025-06-07 00:45:00,2025-06-07 02:25:00,,,156,
157,20453,2025-06-07 00:45:00,2025-06-07 02:35:00,,,157,
158,21011,2025-06-07 00:45:00,2025-06-07 04:10:00,,,158,
159,21341,2025-06-07 00:45:00,2025-06-07 03:00:00,,,159,
160,21450,2025-06-07 00:45:00,2025-06-07 03:00:00,,,160,
161,21545,2025-06-07 00:45:00,2025-06-07 01:30:00,,,161,
162,21597,2025-06-07 00:45:00,2025-06-07 02:35:00,,,162,
163,21726,2025-06-07 00:45:00,2025-06-07 03:35:00,,,163,
164,21807,2025-06-07 00:45:00,2025-06-07 02:50:00,,,164,
165,23317,2025-06-07 00:45:00,2025-06-07 02:50:00,,,165,
166,23616,2025-06-07 00:45:00,2025-06-07 03:00:00,,,166,
167,23626,2025-06-07 00:45:00,2025-06-07 03:45:00,,,167,
168,20030,2025-06-07 00:50:00,2025-06-07 01:45:00,,,168,
169,20467,2025-06-07 00:50:00,2025-06-07 04:20:00,,,169,
170,20680,2025-06-07 00:50:00,2025-06-07 03:00:00,,,170,
171,20697,2025-06-07 00:50:00,2025-06-07 04:45:00,,,171,
172,20986,2025-06-07 00:50:00,2025-06-07 02:05:00,,,172,
173,21128,2025-06-07 00:50:00,2025-06-07 02:10:00,,,173,
174,21142,2025-06-07 00:50:00,2025-06-07 04:05:00,,,174,
175,21268,2025-06-07 00:50:00,2025-06-07 02:50:00,,,175,
176,21555,2025-06-07 00:50:00,2025-06-07 04:05:00,,,176,
177,21947,2025-06-07 00:50:00,2025-06-07 05:30:00,,,177,
178,22509,2025-06-07 00:50:00,2025-06-07 02:00:00,,,178,
179,23127,2025-06-07 00:50:00,2025-06-07 03:10:00,,,179,
180,23764,2025-06-07 00:50:00,2025-06-07 02:15:00,,,180,
181,23861,2025-06-07 00:50:00,2025-06-07 03:00:00,,,181,
182,23876,2025-06-07 00:50:00,2025-06-07 02:35:00,,,182,
183,20065,2025-06-07 00:55:00,2025-06-07 01:50:00,,,183,
184,20076,2025-06-07 00:55:00,2025-06-07 02:10:00,,,184,
185,20342,2025-06-07 00:55:00,2025-06-07 05:40:00,,,185,
186,20694,2025-06-07 00:55:00,2025-06-07 03:15:00,,,186,
187,21461,2025-06-07 00:55:00,2025-06-07 01:55:00,,,187,
188,21838,2025-06-07 00:55:00,2025-06-07 03:00:00,,,188,
189,22124,2025-06-07 00:55:00,2025-06-07 02:10:00,,,189,
190,22258,2025-06-07 00:55:00,2025-06-07 02:10:00,,,190,
191,22670,2025-06-07 00:55:00,2025-06-07 03:55:00,,,191,
192,22716,2025-06-07 00:55:00,2025-06-07 03:00:00,,,192,
193,23118,2025-06-07 00:55:00,2025-06-07 03:20:00,,,193,
194,23675,2025-06-07 00:55:00,2025-06-07 03:50:00,,,194,
195,23924,2025-06-07 00:55:00,2025-06-07 06:40:00,,,195,
196,20021,2025-06-07 01:00:00,2025-06-07 01:55:00,,,196,
197,20051,2025-06-07 01:00:00,2025-06-07 02:15:00,,,197,
198,20169,2025-06-07 01:00:00,2025-06-07 03:25:00,,,198,
199,20541,2025-06-07 01:00:00,2025-06-07 05:55:00,,,199,
200,20555,2025-06-07 01:00:00,2025-06-07 03:15:00,,,200,
201,20712,2025-06-07 01:00:00,2025-06-07 05:10:00,,,201,
202,20774,2025-06-07 01:00:00,2025-06-07 02:45:00,,,202,
203,20972,2025-06-07 01:00:00,2025-06-07 02:25:00,,,203,
204,21218,2025-06-07 01:00:00,2025-06-07 02:50:00,,,204,
205,21397,2025-06-07 01:00:00,2025-06-07 02:10:00,,,205,
206,21606,2025-06-07 01:00:00,2025-06-07 02:10:00,,,206,
207,21840,2025-06-07 01:00:00,2025-06-07 02:30:00,,,207,
208,21849,2025-06-07 01:00:00,2025-06-07 03:55:00,,,208,
209,22095,2025-06-07 01:00:00,2025-06-07 03:50:00,,,209,
210,22404,2025-06-07 01:00:00,2025-06-07 02:45:00,,,210,
211,22609,2025-06-07 01:00:00,2025-06-07 05:25:00,,,211,
212,23140,2025-06-07 01:00:00,2025-06-07 03:40:00,,,212,
213,23332,2025-06-07 01:00:00,2025-06-07 03:15:00,,,213,
214,23559,2025-06-07 01:00:00,2025-06-07 04:15:00,,,214,
215,23690,2025-06-07 01:00:00,2025-06-07 02:10:00,,,215,
216,23794,2025-06-07 01:00:00,2025-06-07 04:55:00,,,216,
217,23839,2025-06-07 01:00:00,2025-06-07 03:30:00,,,217,
218,20017,2025-06-07 01:05:00,2025-06-07 03:25:00,,,218,
219,20070,2025-06-07 01:05:00,2025-06-07 02:40:00,,,219,
220,20757,2025-06-07 01:05:00,2025-06-07 02:20:00,,,220,
221,21090,2025-06-07 01:05:00,2025-06-07 02:05:00,,,221,
222,21330,2025-06-07 01:05:00,2025-06-07 02:55:00,,,222,
223,22232,2025-06-07 01:05:00,2025-06-07 03:50:00,,,223,
224,22805,2025-06-07 01:05:00,2025-06-07 04:45:00,,,224,
225,23016,2025-06-07 01:05:00,2025-06-07 02:50:00,,,225,
226,23103,2025-06-07 01:05:00,2025-06-07 03:55:00,,,226,
227,23297,2025-06-07 01:05:00,2025-06-07 03:10:00,,,227,
228,23672,2025-06-07 01:05:00,2025-06-07 03:45:00,,,228,
229,23755,2025-06-07 01:05:00,2025-06-07 02:40:00,,,229,
230,20211,2025-06-07 01:10:00,2025-06-07 03:00:00,,,230,
231,20428,2025-06-07 01:10:00,2025-06-07 03:50:00,,,231,
232,20519,2025-06-07 01:10:00,2025-06-07 03:45:00,,,232,
233,20700,2025-06-07 01:10:00,2025-06-07 04:50:00,,,233,
234,21055,2025-06-07 01:10:00,2025-06-07 04:25:00,,,234,
235,21166,2025-06-07 01:10:00,2025-06-07 03:25:00,,,235,
236,22201,2025-06-07 01:10:00,2025-06-07 05:30:00,,,236,
237,22408,2025-06-07 01:10:00,2025-06-07 02:05:00,,,237,
238,22486,2025-06-07 01:10:00,2025-06-07 05:20:00,,,238,
239,23074,2025-06-07 01:10:00,2025-06-07 03:25:00,,,239,
240,23281,2025-06-07 01:10:00,2025-06-07 04:05:00,,,240,
241,23727,2025-06-07 01:10:00,2025-06-07 04:45:00,,,241,
242,20114,2025-06-07 01:15:00,2025-06-07 03:20:00,,,242,
243,20182,2025-06-07 01:15:00,2025-06-07 03:30:00,,,243,
244,20464,2025-06-07 01:15:00,2025-06-07 04:20:00,,,244,
245,20760,2025-06-07 01:15:00,2025-06-07 02:05:00,,,245,
246,20918,2025-06-07 01:15:00,2025-06-07 03:00:00,,,246,
247,21465,2025-06-07 01:15:00,2025-06-07 03:45:00,,,247,
248,22444,2025-06-07 01:15:00,2025-06-07 03:35:00,,,248,
249,22825,2025-06-07 01:15:00,2025-06-07 04:55:00,,,249,
250,23791,2025-06-07 01:15:00,2025-06-07 05:40:00,,,250,
251,20161,2025-06-07 01:20:00,2025-06-07 02:40:00,,,251,
252,20165,2025-06-07 01:20:00,2025-06-07 03:20:00,,,252,
253,20458,2025-06-07 01:20:00,2025-06-07 02:55:00,,,253,
254,21230,2025-06-07 01:20:00,2025-06-07 02:25:00,,,254,
255,21372,2025-06-07 01:20:00,2025-06-07 04:00:00,,,255,
256,21705,2025-06-07 01:20:00,2025-06-07 03:25:00,,,256,
257,22042,2025-06-07 01:20:00,2025-06-07 04:20:00,,,257,
258,22116,2025-06-07 01:20:00,2025-06-07 03:20:00,,,258,
259,22165,2025-06-07 01:20:00,2025-06-07 03:50:00,,,259,
260,22236,2025-06-07 01:20:00,2025-06-07 03:50:00,,,260,
261,22343,2025-06-07 01:20:00,2025-06-07 02:40:00,,,261,
262,22441,2025-06-07 01:20:00,2025-06-07 03:20:00,,,262,
263,22625,2025-06-07 01:20:00,2025-06-07 05:00:00,,,263,
264,22915,2025-06-07 01:20:00,2025-06-07 02:15:00,,,264,
265,23609,2025-06-07 01:20:00,2025-06-07 03:25:00,,,265,
266,23734,2025-06-07 01:20:00,2025-06-07 03:00:00,,,266,
267,23735,2025-06-07 01:20:00,2025-06-07 03:35:00,,,267,
268,23739,2025-06-07 01:20:00,2025-06-07 04:25:00,,,268,
269,20022,2025-06-07 01:25:00,2025-06-07 03:15:00,,,269,
270,20156,2025-06-07 01:25:00,2025-06-07 02:50:00,,,270,
271,20282,2025-06-07 01:25:00,2025-06-07 02:50:00,,,271,
272,20296,2025-06-07 01:25:00,2025-06-07 04:00:00,,,272,
273,20327,2025-06-07 01:25:00,2025-06-07 03:30:00,,,273,
274,20708,2025-06-07 01:25:00,2025-06-07 04:20:00,,,274,
275,20931,2025-06-07 01:25:00,2025-06-07 03:30:00,,,275,
276,21454,2025-06-07 01:25:00,2025-06-07 04:05:00,,,276,
277,21811,2025-06-07 01:25:00,2025-06-07 05:00:00,,,277,
278,21841,2025-06-07 01:25:00,2025-06-07 04:40:00,,,278,
279,22111,2025-06-07 01:25:00,2025-06-07 05:05:00,,,279,
280,22130,2025-06-07 01:25:00,2025-06-07 02:30:00,,,280,
281,22360,2025-06-07 01:25:00,2025-06-07 03:40:00,,,281,
282,22584,2025-06-07 01:25:00,2025-06-07 05:10:00,,,282,
283,22585,2025-06-07 01:25:00,2025-06-07 02:30:00,,,283,
284,23742,2025-06-07 01:25:00,2025-06-07 03:35:00,,,284,
285,20027,2025-06-07 01:30:00,2025-06-07 02:30:00,,,285,
286,20095,2025-06-07 01:30:00,2025-06-07 02:25:00,,,286,
287,20232,2025-06-07 01:30:00,2025-06-07 04:10:00,,,287,
288,20246,2025-06-07 01:30:00,2025-06-07 04:50:00,,,288,
289,20557,2025-06-07 01:30:00,2025-06-07 05:45:00,,,289,
290,20650,2025-06-07 01:30:00,2025-06-07 02:30:00,,,290,
291,20865,2025-06-07 01:30:00,2025-06-07 03:30:00,,,291,
292,21129,2025-06-07 01:30:00,2025-06-07 02:50:00,,,292,
293,21258,2025-06-07 01:30:00,2025-06-07 03:40:00,,,293,
294,21682,2025-06-07 01:30:00,2025-06-07 03:30:00,,,294,
295,22289,2025-06-07 01:30:00,2025-06-07 04:15:00,,,295,
296,22374,2025-06-07 01:30:00,2025-06-07 03:50:00,,,296,
297,22433,2025-06-07 01:30:00,2025-06-07 02:45:00,,,297,
298,22573,2025-06-07 01:30:00,2025-06-07 03:15:00,,,298,
299,22735,2025-06-07 01:30:00,2025-06-07 02:55:00,,,299,
300,22821,2025-06-07 01:30:00,2025-06-07 04:10:00,,,300,
301,22853,2025-06-07 01:30:00,2025-06-07 03:45:00,,,301,
302,23008,2025-06-07 01:30:00,2025-06-07 05:25:00,,,302,
303,23597,2025-06-07 01:30:00,2025-06-07 03:10:00,,,303,
304,23676,2025-06-07 01:30:00,2025-06-07 04:25:00,,,304,
305,23830,2025-06-07 01:30:00,2025-06-07 05:10:00,,,305,
306,23913,2025-06-07 01:30:00,2025-06-07 04:45:00,,,306,
307,20603,2025-06-07 01:35:00,2025-06-07 05:05:00,,,307,
308,21228,2025-06-07 01:35:00,2025-06-07 04:05:00,,,308,
309,21772,2025-06-07 01:35:00,2025-06-07 05:20:00,,,309,
310,22414,2025-06-07 01:35:00,2025-06-07 04:10:00,,,310,
311,23393,2025-06-07 01:35:00,2025-06-07 06:15:00,,,311,
312,23576,2025-06-07 01:35:00,2025-06-07 04:15:00,,,312,
313,23748,2025-06-07 01:35:00,2025-06-07 04:55:00,,,313,
314,20149,2025-06-07 01:40:00,2025-06-07 02:45:00,,,314,
315,20288,2025-06-07 01:40:00,2025-06-07 04:10:00,,,315,
316,20828,2025-06-07 01:40:00,2025-06-07 04:05:00,,,316,
317,21251,2025-06-07 01:40:00,2025-06-07 03:20:00,,,317,
318,21616,2025-06-07 01:40:00,2025-06-07 03:10:00,,,318,
319,21690,2025-06-07 01:40:00,2025-06-07 04:20:00,,,319,
320,21813,2025-06-07 01:40:00,2025-06-07 04:15:00,,,320,
321,21925,2025-06-07 01:40:00,2025-06-07 05:35:00,,,321,
322,22009,2025-06-07 01:40:00,2025-06-07 02:55:00,,,322,
323,22056,2025-06-07 01:40:00,2025-06-07 04:50:00,,,323,
324,22271,2025-06-07 01:40:00,2025-06-07 05:45:00,,,324,
325,22436,2025-06-07 01:40:00,2025-06-07 04:10:00,,,325,
326,22500,2025-06-07 01:40:00,2025-06-07 02:30:00,,,326,
327,22650,2025-06-07 01:40:00,2025-06-07 04:30:00,,,327,
328,23208,2025-06-07 01:40:00,2025-06-07 05:15:00,,,328,
329,23220,2025-06-07 01:40:00,2025-06-07 03:10:00,,,329,
330,23279,2025-06-07 01:40:00,2025-06-07 06:50:00,,,330,
331,23473,2025-06-07 01:40:00,2025-06-07 05:25:00,,,331,
332,23946,2025-06-07 01:40:00,2025-06-07 05:05:00,,,332,
333,20225,2025-06-07 01:45:00,2025-06-07 03:55:00,,,333,
334,20346,2025-06-07 01:45:00,2025-06-07 03:35:00,,,334,
335,20630,2025-06-07 01:45:00,2025-06-07 04:10:00,,,335,
336,20748,2025-06-07 01:45:00,2025-06-07 02:45:00,,,336,
337,20963,2025-06-07 01:45:00,2025-06-07 03:40:00,,,337,
338,21192,2025-06-07 01:45:00,2025-06-07 03:30:00,,,338,
339,21225,2025-06-07 01:45:00,2025-06-07 04:20:00,,,339,
340,21708,2025-06-07 01:45:00,2025-06-07 05:00:00,,,340,
341,21866,2025-06-07 01:45:00,2025-06-07 04:15:00,,,341,
342,21937,2025-06-07 01:45:00,2025-06-07 03:10:00,,,342,
343,21966,2025-06-07 01:45:00,2025-06-07 04:25:00,,,343,
344,22012,2025-06-07 01:45:00,2025-06-07 03:25:00,,,344,
345,22241,2025-06-07 01:45:00,2025-06-07 05:15:00,,,345,
346,22326,2025-06-07 01:45:00,2025-06-07 03:35:00,,,346,
347,22818,2025-06-07 01:45:00,2025-06-07 02:45:00,,,347,
348,22908,2025-06-07 01:45:00,2025-06-07 05:40:00,,,348,
349,23043,2025-06-07 01:45:00,2025-06-07 02:45:00,,,349,
350,23207,2025-06-07 01:45:00,2025-06-07 05:20:00,,,350,
351,23513,2025-06-07 01:45:00,2025-06-07 04:45:00,,,351,
352,23649,2025-06-07 01:45:00,2025-06-07 02:35:00,,,352,
353,23829,2025-06-07 01:45:00,2025-06-07 05:25:00,,,353,
354,23974,2025-06-07 01:45:00,2025-06-07 06:15:00,,,354,
355,23977,2025-06-07 01:45:00,2025-06-07 05:30:00,,,355,
356,20048,2025-06-07 01:50:00,2025-06-07 03:05:00,,,356,
357,20372,2025-06-07 01:50:00,2025-06-07 03:25:00,,,357,
358,20612,2025-06-07 01:50:00,2025-06-07 05:35:00,,,358,
359,21638,2025-06-07 01:50:00,2025-06-07 04:05:00,,,359,
360,21657,2025-06-07 01:50:00,2025-06-07 04:05:00,,,360,
361,22029,2025-06-07 01:50:00,2025-06-07 05:10:00,,,361,
362,22224,2025-06-07 01:50:00,2025-06-07 03:55:00,,,362,
363,22260,2025-06-07 01:50:00,2025-06-07 06:55:00,,,363,
364,22304,2025-06-07 01:50:00,2025-06-07 04:25:00,,,364,
365,22411,2025-06-07 01:50:00,2025-06-07 03:40:00,,,365,
366,22477,2025-06-07 01:50:00,2025-06-07 06:25:00,,,366,
367,22963,2025-06-07 01:50:00,2025-06-07 03:35:00,,,367,
368,23458,2025-06-07 01:50:00,2025-06-07 05:50:00,,,368,
369,23467,2025-06-07 01:50:00,2025-06-07 04:25:00,,,369,
370,23562,2025-06-07 01:50:00,2025-06-07 03:50:00,,,370,
371,23592,2025-06-07 01:50:00,2025-06-07 05:40:00,,,371,
372,23655,2025-06-07 01:50:00,2025-06-07 04:15:00,,,372,
373,23805,2025-06-07 01:50:00,2025-06-07 04:30:00,,,373,
374,20228,2025-06-07 01:55:00,2025-06-07 04:35:00,,,374,
375,20376,2025-06-07 01:55:00,2025-06-07 03:25:00,,,375,
376,20559,2025-06-07 01:55:00,2025-06-07 06:05:00,,,376,
377,20593,2025-06-07 01:55:00,2025-06-07 04:00:00,,,377,
378,20704,2025-06-07 01:55:00,2025-06-07 05:35:00,,,378,
379,20843,2025-06-07 01:55:00,2025-06-07 03:15:00,,,379,
380,20989,2025-06-07 01:55:00,2025-06-07 04:25:00,,,380,
381,21581,2025-06-07 01:55:00,2025-06-07 04:25:00,,,381,
382,21845,2025-06-07 01:55:00,2025-06-07 04:00:00,,,382,
383,22086,2025-06-07 01:55:00,2025-06-07 04:10:00,,,383,
384,22841,2025-06-07 01:55:00,2025-06-07 06:30:00,,,384,
385,22850,2025-06-07 01:55:00,2025-06-07 04:45:00,,,385,
386,23116,2025-06-07 01:55:00,2025-06-07 07:05:00,,,386,
